Age0,Age180,Age30,Age360,Age540,Age720,Age90,Cell,Group,MaxSize,NumFiles,Path,Usage,User
0,0,0,0,0,0,0,mlp,intelall,Unlimited,37,,0,murphyni
0,0,0,0,0,0,0,mlp,intelall,Unlimited,41,,0,kletour
0,0,0,0,0,0,0,mlp,,Unlimited,0,,0,*
0,0,0,0,0,0,0,mlp,intelall,Unlimited,42,,0,sskuma3x
0,0,0,0,0,0,0,mlp,intelall,Unlimited,40,,0,rkswamyx
0,0,0,0,0,0,0,mlp,root,Unlimited,2,,0,root
0,0,0,0,0,0,0,mlp,intelall,Unlimited,62,,0,jsheppar
0,0,0,0,0,0,0,mlp,,Unlimited,0,,0,*
0,0,0,0,0,0,0,mlp,root,Unlimited,1,,0,root
0,0,0,0,0,0,0,mlp,intelall,Unlimited,10,,0,jsheppar
0,0,0,0,0,0,0,mlp,,Unlimited,0,,0,*
0,0,0,0,0,0,0,mlp,root,Unlimited,1,,0,root
0,0,0,0,0,0,0,mlp,,Unlimited,0,,0,*
0,0,0,0,0,0,0,mlp,intelall,Unlimited,1,,0,washmgr
0,0,0,0,0,0,0,mlp,infra,Unlimited,2,,0,acqsys
0,0,0,0,0,0,0,mlp,,Unlimited,80,,0,57780
0,0,0,0,0,0,0,mlp,,Unlimited,0,,0,*
0,0,0,0,0,0,0,mlp,root,Unlimited,1,,0,root
0,0,0,0,0,0,0,mlp,intelall,Unlimited,1,,0,mmathai
0,0,0,0,0,0,0,mlp,intelall,Unlimited,1,,0,abernabe
0,0,0,0,0,0,0,mlp,intelall,Unlimited,1,,0,jshanly
0,0,0,0,0,0,0,mlp,,Unlimited,0,,0,*
0,0,0,0,0,0,0,mlp,root,Unlimited,1,,0,root
0,0,0,0,0,0,0,mlp,intelall,Unlimited,4,,0,vbalasub
0,0,0,0,0,0,0,mlp,,Unlimited,0,,0,*
1,0,0,0,0,0,0,mlp,intelall,Unlimited,142,,1,gsalvato
1,0,0,0,0,0,0,mlp,intelall,Unlimited,125,,1,ddavies
1,0,0,0,0,0,0,mlp,intelall,Unlimited,223,,2,sbonifaz
3,3,3,0,0,0,3,mlp,root,Unlimited,114,,4,root
6,6,6,0,0,0,6,mlp,netbatch,Unlimited,6,,6,vnblock
8,0,5,0,0,0,0,mlp,intelall,Unlimited,97,,8,postrin
0,0,0,0,0,0,0,mlp,intelall,Unlimited,3,,10,dcoulthu
29,19,19,0,0,0,19,mlp,intelall,Unlimited,5948,,19,jdkarpin
34,0,34,0,0,0,34,mlp,intelall,Unlimited,4,,35,yjoncour
40,32,40,0,0,0,40,mlp,intelall,Unlimited,5,,40,plaws
41,0,41,0,0,0,0,mlp,intelall,Unlimited,3,,42,kennedyj
47,0,47,0,0,0,47,mlp,intelall,Unlimited,1,,48,harrisch
68,60,60,0,0,0,60,mlp,,Unlimited,2481,,61,61922
64,0,64,0,0,0,64,mlp,intelall,Unlimited,3,,64,weaverch
79,0,79,0,0,0,79,mlp,intelall,Unlimited,2,,80,omateolo
134,122,122,0,0,0,122,mlp,,Unlimited,10756,,123,11411705
130,0,130,0,0,0,13,mlp,intelall,Unlimited,198,,130,sharprob
137,114,137,0,0,0,137,mlp,intelall,Unlimited,152,,137,sharprob
382,382,382,0,0,0,382,mlp,intelall,Unlimited,2,,383,sharprob
416,0,416,0,0,0,416,mlp,intelall,Unlimited,17,,416,kennedyj
560,0,560,0,0,0,0,mlp,intelall,Unlimited,2,,560,thomasda
570,0,569,0,0,0,429,mlp,intelall,Unlimited,1951,,577,weaverch
752,746,746,0,0,0,746,mlp,ganglia,Unlimited,29192,,747,ganglia
841,837,837,0,0,0,837,mlp,intelall,Unlimited,11638,,837,p4prod
961,506,959,0,0,0,956,mlp,intelall,Unlimited,300,,962,kgardine
996,995,995,0,0,0,995,mlp,netbatch,Unlimited,1772,,996,netbatch
1060,0,1057,0,0,0,426,mlp,intelall,Unlimited,243,,1060,jshanly
1075,1075,1075,0,0,0,1075,mlp,intelall,Unlimited,1078,,1075,yjoncour
1322,1321,1321,0,0,0,1321,mlp,root,Unlimited,970,,1321,root
1895,958,1444,0,0,0,1444,mlp,intelall,Unlimited,297,,1896,bduckwor
3360,3360,3360,0,0,0,3360,mlp,root,Unlimited,680,,3361,root
4611,4611,4611,0,0,0,4611,mlp,intelall,Unlimited,3287,,4611,michelth
5777,1924,5370,105,0,0,5023,mlp,intelall,Unlimited,4736,,5781,philipoc
6238,0,4934,0,0,0,3381,mlp,intelall,Unlimited,47930,,7559,johnelli
9802,0,2933,0,0,0,523,mlp,intelall,Unlimited,4801,,10351,tcorring
10801,122,10763,76,76,4,10644,mlp,intelall,Unlimited,81399,,10785,plaws
13427,12769,13426,0,0,0,13426,mlp,intelall,Unlimited,589,,13427,michelth
16258,0,7475,0,0,0,6802,mlp,intelall,Unlimited,32,,16259,harrisch
19636,0,16556,0,0,0,14701,mlp,intelall,Unlimited,97682,,18451,omuravey
18762,0,212,0,0,0,212,mlp,intelall,Unlimited,2239,,18764,davebald
22333,13515,22330,4576,4576,1023,22223,mlp,intelall,Unlimited,12341,,22330,yjoncour
27338,0,14021,0,0,0,12553,mlp,intelall,Unlimited,7628,,27531,jsheppar
31092,2,26823,1,0,0,23393,mlp,intelall,Unlimited,145275,,31289,phuxley
