Allocated,AllocatedCmodeTB,AllocatedGB,AllocatedTB,Areas,AutoDetected,AvailInodes,Available,AvailableGB,AvailableTB,BaR_MPX,BaR_Master,BaR_Max_Jobs,BaR_NFS_Client,BaR_Priority,BaR_STU,BaR_Special,BaR_Tier,BaR_Vol_By_Qtree,BusinessGroup,CIFS,CachedCells,Cell,CreatedBySTART,DNSName,DeduplicationStatus,Disk,DiskPool,DiskType,FileServer,InfoCollectionTime,InodesUtilization,IsCache,MaxUsageFactor,MountDir,MountName,NoBackup,OverAllocationAllowed,PercentSpaceSavedFromDeduplication,PhysicalDisks,Policies,Pool_1_Name,Pool_1_Protection,Pool_1_SizeGB,Pool_1_SizeTB,Pool_1_UsedGB,Pool_1_UsedPercent,Pool_1_UsedTB,Pool_2_Name,Pool_2_Protection,Pool_2_SizeGB,Pool_2_SizeTB,Pool_2_UsedGB,Pool_2_UsedPercent,Pool_2_UsedTB,Pool_3_Name,Pool_3_Protection,Pool_3_SizeGB,Pool_3_SizeTB,Pool_3_UsedGB,Pool_3_UsedPercent,Pool_3_UsedTB,Project,RaidType,Reserved,SetupTime,SharedPool,Size,SizeGB,SizeTB,SizeWithSnapshot,SizeWithSnapshotGB,SizeWithSnapshotTB,SlownessDuration1,SlownessDuration14,SlownessDuration30,SlownessDuration60,SlownessDuration7,SlownessEvents1,SlownessEvents14,SlownessEvents30,SlownessEvents60,SlownessEvents7,SnapMirrorSrc,SnapReserve,SnapSchedule,SnapShotUsage,SnapShotUsageGB,SnapShotUsageTB,SpaceSavedFromDeduplication,Status,Tier,TotalInodes,Type,Usage,UsageGB,UsageTB,UsageUpdateTime,UsedGB,UsedTB,VolumeType,avg_latency,cluster,isSnapmirrored,isSystem,other_latency,other_ops,read_data,read_latency,read_ops,total_ops,write_data,write_latency,write_ops
0,,0.0,0.0,,true,31869133,217600,212.5,0.208,1,,4,,0,,,1,false,,false,,mlp,false,,disabled,root,aggr0,,mlpnap01a.isw.intel.com,02/09/2014 18:01:51,0,false,1.0,/nfs/site/stod,,false,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,06/18/2013 13:23:42,,217600,212.5,0.208,256000,250,0,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,0,Active,3,31876689,NETAPP,6704,6.547,0.006,02/09/2014 18:01:51,6.547,0.006,flex,0.0,,false,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,,0.0,0.0,,true,31876586,6291456,6144.0,6.0,1,,4,,0,,,1,false,,false,,mlp,false,,enabled,san_vol1,aggr1,,mlpnap01a.isw.intel.com,02/09/2014 18:04:57,0,false,1.0,/nfs/site/stod,,false,false,58.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,10/18/2013 16:39:43,,6291456,6144.0,6.0,6291456,6144,6,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,199512,Active,3,31876689,NETAPP,144063,140.687,0.137,02/09/2014 18:04:57,140.687,0.137,flex,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,,0.0,0.0,,true,31876586,6291456,6144.0,6.0,1,,4,,0,,,1,false,,false,,mlp,false,,enabled,san_vol2,aggr1,,mlpnap01a.isw.intel.com,02/09/2014 18:03:49,0,false,1.0,/nfs/site/stod,,false,false,65.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,10/18/2013 16:39:43,,6291456,6144.0,6.0,6291456,6144,6,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,262485,Active,3,31876689,NETAPP,140398,137.107,0.134,02/09/2014 18:03:49,137.107,0.134,flex,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
409600,,400.0,0.391,mlp_ec_Commontools mlp_ec_gen_platforms mlp_ec_home mlp_ec_gen_adm ,true,28924952,1642803,1604.3,1.567,1,,4,,0,,,1,false,,false,,mlp,false,,enabled,vol0,aggr0,,mlpnap01a.isw.intel.com,02/09/2014 18:18:42,9,false,1.0,/nfs/site/stod,,false,false,43.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,06/18/2013 13:23:42,,2052403,2004.3,1.957,2414592,2358,2,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,63397,Active,3,31876689,NETAPP,80866,78.971,0.077,02/09/2014 18:18:42,78.971,0.077,flex,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1024020,,1000.02,0.977,mlp_users_linktree mlp_projects_linktree mlp_homepub_disk001 ,true,29782659,1028383,1004.28,0.981,1,,4,,0,,,1,false,,false,,mlp,false,,enabled,vol1,aggr0,,mlpnap01a.isw.intel.com,02/09/2014 18:12:56,7,false,1.0,/nfs/site/stod,,false,false,15.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,06/18/2013 13:23:42,,2052403,2004.3,1.957,2414592,2358,2,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,109480,Active,3,31876689,NETAPP,591164,577.309,0.564,02/09/2014 18:12:56,577.309,0.564,flex,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1024000,,1000.0,0.977,mlp_content_disk001 ,true,31869210,1028403,1004.3,0.981,1,,4,,0,,,1,false,,false,,mlp,false,,enabled,vol2,aggr0,,mlpnap01a.isw.intel.com,02/09/2014 18:18:18,0,false,1.0,/nfs/site/stod,,false,false,8.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,06/18/2013 13:23:42,,2052403,2004.3,1.957,2414592,2358,2,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,15759,Active,3,31876689,NETAPP,178847,174.655,0.171,02/09/2014 18:18:18,174.655,0.171,flex,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1024000,,1000.0,0.977,mlp_vlv2_disk001 ,true,31846565,1028403,1004.3,0.981,1,,4,,0,,,1,false,,false,,mlp,false,,enabled,vol3,aggr0,,mlpnap01a.isw.intel.com,02/09/2014 18:08:58,0,false,1.0,/nfs/site/stod,,false,false,34.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,06/18/2013 13:23:42,,2052403,2004.3,1.957,2414592,2358,2,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,60726,Active,3,31876689,NETAPP,113918,111.248,0.109,02/09/2014 18:08:58,111.248,0.109,flex,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1024000,,1000.0,0.977,mlp_dropbox_disk001 ,true,31859083,1028403,1004.3,0.981,1,,4,,0,,,1,false,,false,,mlp,false,,enabled,vol4,aggr0,,mlpnap01a.isw.intel.com,02/09/2014 18:03:58,0,false,1.0,/nfs/site/stod,,false,false,11.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,06/18/2013 13:23:42,,2052403,2004.3,1.957,2414592,2358,2,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,39455,Active,3,31876689,NETAPP,319026,311.549,0.304,02/09/2014 18:03:58,311.549,0.304,flex,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
