Age0,Age180,Age30,Age360,Age540,Age720,Age90,Cell,Group,MaxSize,NumFiles,Path,Usage,User
0,0,0,0,0,0,0,ibw,chip,Unlimited,42,/nfs/ibw/disks/ccdo.soc.rtl.0,0,dmcheria
0,0,0,0,0,0,0,ibw,chip,Unlimited,52,/nfs/ibw/disks/ccdo.soc.rtl.0,0,rtott
0,0,0,0,0,0,0,ibw,chip,Unlimited,15,/nfs/ibw/disks/ccdo.soc.rtl.0,0,wclift
0,0,0,0,0,0,0,ibw,chip,Unlimited,6,/nfs/ibw/disks/ccdo.soc.rtl.0,0,afeldm2
0,0,0,0,0,0,0,ibw,chip,Unlimited,37,/nfs/ibw/disks/ccdo.soc.rtl.0,0,yaelz
0,0,0,0,0,0,0,ibw,,Unlimited,0,/nfs/ibw/disks/ccdo.soc.rtl.0,0,*
0,0,0,0,0,0,0,ibw,chip,Unlimited,62,/nfs/ibw/disks/ccdo.soc.tools.000,0,mikel
0,0,0,0,0,0,0,ibw,chip,Unlimited,89,/nfs/ibw/disks/ccdo.soc.tools.000,0,yaelz
0,0,0,0,0,0,0,ibw,chip,Unlimited,75,/nfs/ibw/disks/ccdo.soc.tools.000,0,bakelly
0,0,0,0,0,0,0,ibw,chip,Unlimited,28,/nfs/ibw/disks/ccdo.soc.tools.000,0,wwsee
0,0,0,0,0,0,0,ibw,chip,Unlimited,1,/nfs/ibw/disks/ccdo.soc.tools.000,0,wcalexan
0,0,0,0,0,0,0,ibw,chip,Unlimited,19,/nfs/ibw/disks/ccdo.soc.tools.000,0,bbcheah
0,0,0,0,0,0,0,ibw,chip,Unlimited,13,/nfs/ibw/disks/ccdo.soc.tools.000,0,dvvenger
0,0,0,0,0,0,0,ibw,chip,Unlimited,72,/nfs/ibw/disks/ccdo.soc.tools.000,0,bbczisny
0,0,0,0,0,0,0,ibw,chip,Unlimited,83,/nfs/ibw/disks/ccdo.soc.tools.000,0,seanburk
0,0,0,0,0,0,0,ibw,chip,Unlimited,44,/nfs/ibw/disks/ccdo.soc.tools.000,0,dmcheria
0,0,0,0,0,0,0,ibw,soc,Unlimited,34,/nfs/ibw/disks/ccdo.soc.tools.000,0,gkhdk
0,0,0,0,0,0,0,ibw,soc,Unlimited,4,/nfs/ibw/disks/ccdo.soc.tools.000,0,valhdk
0,0,0,0,0,0,0,ibw,,Unlimited,7,/nfs/ibw/disks/ccdo.soc.tools.000,0,darybin
0,0,0,0,0,0,0,ibw,chip,Unlimited,154,/nfs/ibw/disks/ccdo.soc.tools.000,0,hmangat
0,0,0,0,0,0,0,ibw,chip,Unlimited,2,/nfs/ibw/disks/ccdo.soc.tools.000,0,crquicks
0,0,0,0,0,0,0,ibw,chip,Unlimited,6,/nfs/ibw/disks/ccdo.soc.tools.000,0,alstortz
0,0,0,0,0,0,0,ibw,chip,Unlimited,10,/nfs/ibw/disks/ccdo.soc.tools.000,0,bliss
0,0,0,0,0,0,0,ibw,chip,Unlimited,6,/nfs/ibw/disks/ccdo.soc.tools.000,0,yseah
0,0,0,0,0,0,0,ibw,chip,Unlimited,37,/nfs/ibw/disks/ccdo.soc.tools.000,0,ewoolley
0,0,0,0,0,0,0,ibw,chip,Unlimited,82,/nfs/ibw/disks/ccdo.soc.tools.000,0,iakolmyc
0,0,0,0,0,0,0,ibw,chip,Unlimited,7,/nfs/ibw/disks/ccdo.soc.tools.000,0,carchie
0,0,0,0,0,0,0,ibw,chip,Unlimited,22,/nfs/ibw/disks/ccdo.soc.tools.000,0,bjbarcla
0,0,0,0,0,0,0,ibw,chip,Unlimited,45,/nfs/ibw/disks/ccdo.soc.tools.000,0,esadkins
0,0,0,0,0,0,0,ibw,chip,Unlimited,13,/nfs/ibw/disks/ccdo.soc.tools.000,0,jmnunez
0,0,0,0,0,0,0,ibw,chip,Unlimited,3,/nfs/ibw/disks/ccdo.soc.tools.000,0,sstisdal
0,0,0,0,0,0,0,ibw,chip,Unlimited,12,/nfs/ibw/disks/ccdo.soc.tools.000,0,cdtaylor
0,0,0,0,0,0,0,ibw,chip,Unlimited,4,/nfs/ibw/disks/ccdo.soc.tools.000,0,scoward
0,0,0,0,0,0,0,ibw,chip,Unlimited,4,/nfs/ibw/disks/ccdo.soc.tools.000,0,rhartung
0,0,0,0,0,0,0,ibw,chip,Unlimited,6,/nfs/ibw/disks/ccdo.soc.tools.000,0,drwheele
0,0,0,0,0,0,0,ibw,chip,Unlimited,8,/nfs/ibw/disks/ccdo.soc.tools.000,0,wclift
0,0,0,0,0,0,0,ibw,chip,Unlimited,6,/nfs/ibw/disks/ccdo.soc.tools.000,0,jjgamage
0,0,0,0,0,0,0,ibw,chip,Unlimited,9,/nfs/ibw/disks/ccdo.soc.tools.000,0,sprasad
0,0,0,0,0,0,0,ibw,,Unlimited,22,/nfs/ibw/disks/ccdo.soc.tools.000,0,10660034
0,0,0,0,0,0,0,ibw,,Unlimited,29,/nfs/ibw/disks/ccdo.soc.tools.000,0,11381406
0,0,0,0,0,0,0,ibw,chip,Unlimited,3,/nfs/ibw/disks/ccdo.soc.tools.000,0,jkuzniar
0,0,0,0,0,0,0,ibw,chip,Unlimited,8,/nfs/ibw/disks/ccdo.soc.tools.000,0,jfkehoe
0,0,0,0,0,0,0,ibw,chip,Unlimited,7,/nfs/ibw/disks/ccdo.soc.tools.000,0,hnguy11
0,0,0,0,0,0,0,ibw,chip,Unlimited,3,/nfs/ibw/disks/ccdo.soc.tools.000,0,agshapki
0,0,0,0,0,0,0,ibw,chip,Unlimited,9,/nfs/ibw/disks/ccdo.soc.tools.000,0,klim31
0,0,0,0,0,0,0,ibw,chip,Unlimited,2,/nfs/ibw/disks/ccdo.soc.tools.000,0,jmartinl
0,0,0,0,0,0,0,ibw,chip,Unlimited,31,/nfs/ibw/disks/ccdo.soc.tools.000,0,pmmarden
0,0,0,0,0,0,0,ibw,chip,Unlimited,13,/nfs/ibw/disks/ccdo.soc.tools.000,0,gllogan
0,0,0,0,0,0,0,ibw,chip,Unlimited,4,/nfs/ibw/disks/ccdo.soc.tools.000,0,essemeno
0,0,0,0,0,0,0,ibw,chip,Unlimited,23,/nfs/ibw/disks/ccdo.soc.tools.000,0,mzmartin
0,0,0,0,0,0,0,ibw,chip,Unlimited,3,/nfs/ibw/disks/ccdo.soc.tools.000,0,ecalo
0,0,0,0,0,0,0,ibw,chip,Unlimited,1,/nfs/ibw/disks/ccdo.soc.tools.000,0,apdhdk
0,0,0,0,0,0,0,ibw,,Unlimited,34,/nfs/ibw/disks/ccdo.soc.tools.000,0,12425
0,0,0,0,0,0,0,ibw,chip,Unlimited,2,/nfs/ibw/disks/ccdo.soc.tools.000,0,rmstrong
0,0,0,0,0,0,0,ibw,chip,Unlimited,2,/nfs/ibw/disks/ccdo.soc.tools.000,0,geitan
0,0,0,0,0,0,0,ibw,chip,Unlimited,1,/nfs/ibw/disks/ccdo.soc.tools.000,0,cnladmin
0,0,0,0,0,0,0,ibw,chip,Unlimited,11,/nfs/ibw/disks/ccdo.soc.tools.000,0,ctopper
0,0,0,0,0,0,0,ibw,,Unlimited,1,/nfs/ibw/disks/ccdo.soc.tools.000,0,11647
0,0,0,0,0,0,0,ibw,,Unlimited,0,/nfs/ibw/disks/ibw_vt_disk004,0,*
0,0,0,0,0,0,0,ibw,cadlib,Unlimited,1,/nfs/ibw/proj/com,0,cadlib
0,0,0,0,0,0,0,ibw,root,Unlimited,6,/nfs/ibw/proj/com,0,root
0,0,0,0,0,0,0,ibw,,Unlimited,0,/nfs/ibw/proj/com,0,*
0,0,0,0,0,0,0,ibw,root,Unlimited,5,/nfs/ibw/proj/dpg/tests,0,root
0,0,0,0,0,0,0,ibw,,Unlimited,0,/nfs/ibw/proj/dpg/tests,0,*
0,0,0,0,0,0,0,ibw,,Unlimited,1,/nfs/ibw/proj/dpg/arch,0,46714
0,0,0,0,0,0,0,ibw,,Unlimited,1,/nfs/ibw/proj/dpg/arch,0,13963
0,0,0,0,0,0,0,ibw,,Unlimited,7,/nfs/ibw/proj/dpg/arch,0,39882
0,0,0,0,0,0,0,ibw,,Unlimited,3,/nfs/ibw/proj/dpg/arch,0,20332
0,0,0,0,0,0,0,ibw,,Unlimited,6,/nfs/ibw/proj/dpg/arch,0,43647
0,0,0,0,0,0,0,ibw,,Unlimited,1,/nfs/ibw/proj/dpg/arch,0,34772
0,0,0,0,0,0,0,ibw,,Unlimited,3,/nfs/ibw/proj/dpg/arch,0,41697
0,0,0,0,0,0,0,ibw,,Unlimited,2,/nfs/ibw/proj/dpg/arch,0,11395587
0,0,0,0,0,0,0,ibw,chip,Unlimited,1,/nfs/ibw/proj/dpg/arch,0,nali2
0,0,0,0,0,0,0,ibw,,Unlimited,8,/nfs/ibw/proj/dpg/arch,0,31935
0,0,0,0,0,0,0,ibw,,Unlimited,13,/nfs/ibw/proj/dpg/arch,0,22202
0,0,0,0,0,0,0,ibw,,Unlimited,1,/nfs/ibw/proj/dpg/arch,0,11326398
0,0,0,0,0,0,0,ibw,chip,Unlimited,6,/nfs/ibw/proj/dpg/arch,0,stsriniv
0,0,0,0,0,0,0,ibw,chip,Unlimited,1,/nfs/ibw/proj/dpg/arch,0,seraasch
0,0,0,0,0,0,0,ibw,chip,Unlimited,1,/nfs/ibw/proj/dpg/arch,0,cjbeckma
